Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CL-Brain,0.971,547.511,2.705,1430,nan
CL-Brain,0.976,550.012,2.626,1211,35.990
CL-Brain,1.063,552.415,2.171,1307,14.388
CL-Brain,0.937,555.795,4.197,1214,0.990
CL-Brain,1.396,558.654,2.411,1853,-0.010
CL-Brain,0.931,561.991,4.187,1201,4.240
CL-Brain,0.901,564.365,2.440,1263,14.990
CL-Brain,1.133,566.850,2.221,1560,nan
CL-Brain,0.999,569.506,2.854,1221,-0.010
CL-Brain,0.874,572.177,3.050,1214,2.990
CL-Brain,1.049,574.855,2.748,1520,1.990
CL-Brain,0.873,577.109,2.317,1235,nan
CL-Brain,0.875,579.388,2.377,1225,-0.010
CL-Brain,0.866,581.976,3.016,1215,9.323
CL-Brain,0.959,584.792,3.142,1425,1.990
CL-Brain,0.883,587.121,2.437,1233,-0.010
CL-Brain,0.890,589.185,1.929,1238,-0.010
CL-Brain,0.913,591.537,2.444,1207,-0.010
CL-Brain,0.884,594.241,3.119,1235,nan
CL-Brain,0.873,596.570,2.483,1203,22.323
CL-Brain,1.249,599.426,2.595,1720,8.332
CL-Brain,1.423,603.219,3.952,2038,-0.010
CL-Brain,0.857,606.259,3.722,1219,-0.010
CL-Brain,1.309,609.255,2.885,1820,nan
CL-Brain,0.960,612.441,3.838,1210,11.990
CL-Brain,0.902,614.847,2.509,1248,4.990
CL-Brain,1.225,617.471,2.293,1683,-0.010
CL-Brain,0.892,620.220,3.123,1242,2.240
CL-Brain,0.919,622.705,2.652,1256,3.990
CL-Brain,0.912,624.896,2.141,1282,-0.010
CL-Brain,1.040,627.395,2.435,1365,nan
CL-Brain,0.931,630.276,3.365,1211,0.990
CL-Brain,0.894,632.716,2.619,1222,8.323
CL-Brain,0.883,634.946,2.260,1253,0.323
CL-Brain,0.891,637.245,2.395,1229,14.990
CL-Brain,0.882,639.588,2.495,1247,2.990
CL-Brain,0.864,642.108,2.799,1240,12.990
CL-Brain,0.903,644.185,1.987,1202,10.938
CL-Brain,1.327,647.785,3.795,1915,-0.010
CL-Brain,0.885,650.344,2.800,1248,-0.010
CL-Brain,0.888,653.061,3.145,1201,2.657
CL-Brain,1.260,656.134,3.160,1639,-0.010
CL-Brain,0.877,658.805,3.007,1223,5.490
CL-Brain,0.926,661.375,2.535,1265,-0.010
CL-Brain,0.989,664.152,3.038,1241,-0.010
CL-Brain,1.018,666.694,2.583,1365,nan
CL-Brain,0.881,669.525,3.367,1232,14.990
CL-Brain,0.855,671.638,2.079,1237,11.490
CL-Brain,0.861,673.814,2.181,1211,-0.010
CL-Brain,0.895,676.193,2.500,1226,9.657
CL-Brain,0.894,678.643,2.680,1256,-0.010
CL-Brain,0.884,681.514,3.466,1274,5.990
CL-Brain,0.880,683.724,2.205,1249,2.490
CL-Brain,0.869,685.916,2.197,1248,7.490
CL-Brain,0.877,688.281,2.516,1212,3.657
CL-Brain,1.228,691.100,2.632,1712,6.841
CL-Brain,1.416,694.887,4.013,2027,-0.010
CL-Brain,1.474,699.213,4.928,2057,1.490
CL-Brain,0.860,702.296,3.862,1205,1.490
CL-Brain,1.254,705.335,2.999,1757,7.323
CL-Brain,0.893,708.013,3.013,1318,7.390
CL-Brain,0.881,710.602,2.897,1232,5.990
CL-Brain,1.145,713.281,2.593,1574,-0.010
CL-Brain,0.881,715.889,2.899,1248,23.990
CL-Brain,0.936,718.314,2.513,1235,nan
CL-Brain,0.905,720.670,2.415,1254,0.490
CL-Brain,0.909,722.759,1.944,1314,-0.010
CL-Brain,0.873,725.320,2.912,1247,9.323
CL-Brain,0.869,727.542,2.261,1221,2.323
CL-Brain,0.970,730.319,3.102,1215,-0.010
CL-Brain,1.051,733.232,3.224,1452,2.990
CL-Brain,0.881,735.491,2.286,1261,3.990
CL-Brain,0.963,737.709,2.090,1345,11.176
CL-Brain,1.508,741.932,4.644,2080,nan
CL-Brain,0.889,745.171,4.022,1208,3.240
CL-Brain,1.224,747.595,1.940,1782,3.990
CL-Brain,1.049,750.423,3.008,1236,1.490
CL-Brain,0.888,753.487,3.751,1204,-0.010
CL-Brain,1.218,756.232,2.603,1601,6.990
CL-Brain,0.916,758.963,3.106,1213,-0.010
CL-Brain,0.922,761.518,2.739,1226,4.657
CL-Brain,1.078,764.226,2.757,1203,12.323
CL-Brain,1.267,767.434,3.335,1420,-0.010
CL-Brain,0.954,770.209,3.075,1235,nan
CL-Brain,0.893,772.737,2.759,1253,-0.010
CL-Brain,0.875,775.149,2.569,1215,-0.010
CL-Brain,1.054,778.194,3.410,1473,4.990
CL-Brain,0.863,781.053,3.483,1206,16.990
CL-Brain,0.889,783.338,2.317,1252,-0.010
CL-Brain,0.865,785.742,2.610,1211,11.990
CL-Brain,1.486,789.292,3.453,1989,12.625
CL-Brain,1.694,793.495,4.148,2025,0.990
CL-Brain,1.694,798.418,5.437,2080,nan
CL-Brain,1.549,802.894,5.098,1999,0.323
CL-Brain,1.025,806.582,4.644,1248,11.990
CL-Brain,1.487,809.755,2.739,1727,8.323
CL-Brain,0.998,812.206,2.393,1235,nan
CL-Brain,0.951,815.398,3.849,1235,nan
CL-Brain,1.147,818.333,3.011,1659,-0.010
CL-Brain,1.061,821.477,3.666,1231,-0.010
CL-Brain,0.933,824.061,2.548,1213,20.990
CL-Brain,1.361,827.646,3.841,1612,6.990
CL-Brain,0.956,830.161,2.643,1235,nan
CL-Brain,3.191,835.014,2.871,1235,nan
CL-Brain,0.968,837.945,3.383,1235,nan
CL-Brain,1.310,840.912,2.796,1495,0.990
CL-Brain,1.108,843.441,2.316,1512,18.823
CL-Brain,1.412,847.448,4.367,1988,0.657
CL-Brain,0.930,850.412,3.470,1235,0.390
CL-Brain,1.421,853.821,3.382,1820,nan
CL-Brain,0.928,856.556,3.050,1255,10.990
CL-Brain,0.926,859.606,3.706,1241,2.490
CL-Brain,1.174,862.453,2.864,1653,4.990
CL-Brain,0.959,865.381,3.345,1236,26.990
CL-Brain,0.956,868.284,3.309,1248,-0.010
CL-Brain,0.949,870.770,2.636,1231,7.490
CL-Brain,0.985,873.528,3.076,1430,nan
CL-Brain,0.939,876.362,3.247,1245,6.990
CL-Brain,0.866,878.728,2.482,1245,6.990
CL-Brain,0.872,881.054,2.444,1260,33.990
CL-Brain,0.963,883.744,3.062,1365,-0.010
CL-Brain,0.875,886.554,3.355,1213,-0.010
CL-Brain,0.983,888.952,2.364,1299,17.990
CL-Brain,1.381,892.487,3.558,1906,12.950
CL-Brain,0.928,895.649,3.820,1235,-0.010
CL-Brain,1.308,898.789,3.127,1860,-0.010
CL-Brain,0.880,901.865,3.762,1262,-0.010
CL-Brain,1.300,904.680,2.506,1820,nan
CL-Brain,0.867,907.608,3.619,1216,-0.010
CL-Brain,0.863,910.136,2.831,1251,5.240
CL-Brain,1.181,913.010,2.847,1642,-0.010
CL-Brain,0.872,915.606,2.869,1298,8.590
CL-Brain,0.928,918.102,2.648,1246,-0.010
CL-Brain,1.279,921.132,2.928,1658,4.490
CL-Brain,0.919,924.145,3.607,1236,-0.010
CL-Brain,0.869,926.775,3.004,1235,nan
CL-Brain,1.370,929.796,2.785,1604,6.657
CL-Brain,0.936,932.714,3.404,1246,12.490
CL-Brain,0.894,935.136,2.574,1206,28.990
CL-Brain,1.056,937.862,2.831,1213,8.323
CL-Brain,1.357,940.699,2.383,1843,8.554
CL-Brain,1.466,944.588,4.076,2015,nan
CL-Brain,1.533,948.964,4.799,2044,-0.010
CL-Brain,1.052,952.241,3.869,1216,10.990
CL-Brain,1.431,955.749,3.535,1840,7.490
CL-Brain,0.908,958.672,3.452,1204,6.990
CL-Brain,0.890,961.318,2.986,1254,3.990
CL-Brain,1.275,964.324,2.881,1665,10.990
CL-Brain,0.888,967.090,3.139,1218,23.990
CL-Brain,1.036,969.603,2.489,1209,-0.010
CL-Brain,0.958,972.196,2.694,1252,4.490
CL-Brain,1.185,974.794,2.351,1404,1.990
CL-Brain,0.894,977.702,3.482,1235,nan
CL-Brain,0.942,980.568,3.357,1225,-0.010
CL-Brain,0.930,983.331,3.181,1235,nan
CL-Brain,0.957,985.605,2.168,1218,8.490
CL-Brain,1.143,988.254,2.288,1209,14.240
CL-Brain,1.161,991.008,2.584,1505,7.411
CL-Brain,0.930,994.157,3.724,1215,-0.010
CL-Brain,1.366,997.339,3.078,1786,-0.010
CL-Brain,0.888,1000.379,3.640,1230,-0.010
CL-Brain,0.978,1002.880,2.568,1210,1.323
CL-Brain,1.152,1005.665,2.729,1599,2.990
CL-Brain,0.873,1008.334,3.060,1237,8.657
CL-Brain,0.883,1011.027,3.124,1243,4.990
CL-Brain,0.866,1013.385,2.533,1214,5.990
CL-Brain,1.292,1016.382,2.914,1487,11.990
CL-Brain,1.124,1019.560,3.539,1258,5.133
CL-Brain,0.927,1022.075,2.671,1207,5.990
CL-Brain,1.174,1025.235,3.362,1235,nan
CL-Brain,1.080,1028.390,3.650,1348,13.990
CL-Brain,0.953,1030.850,2.556,1214,16.490
CL-Brain,0.912,1033.517,2.957,1253,19.990
CL-Brain,0.876,1035.951,2.588,1264,-0.010
CL-Brain,0.868,1038.651,3.164,1235,nan
CL-Brain,1.407,1041.602,2.554,1683,9.367
CL-Brain,0.948,1044.978,4.183,1213,14.990
CL-Brain,1.474,1048.069,2.688,1820,7.490
CL-Brain,1.039,1051.329,3.776,1255,-0.010
CL-Brain,1.031,1054.255,3.210,1259,3.657
CL-Brain,1.135,1056.840,2.385,1597,-0.010
CL-Brain,0.906,1059.854,3.662,1235,nan
CL-Brain,0.874,1062.497,2.965,1264,0.990
CL-Brain,1.208,1065.552,3.194,1560,nan
CL-Brain,0.903,1068.175,2.970,1235,nan
CL-Brain,0.927,1071.075,3.436,1248,4.990
CL-Brain,0.887,1073.676,2.908,1239,21.657
CL-Brain,1.043,1076.243,2.568,1495,nan
CL-Brain,0.976,1079.265,3.560,1218,-0.010
CL-Brain,0.941,1082.475,3.962,1258,3.490
CL-Brain,1.108,1085.242,2.779,1221,19.990
CL-Brain,0.985,1087.799,2.601,1262,14.990
CL-Brain,0.903,1090.067,2.256,1284,1.990
CL-Brain,1.031,1092.680,2.655,1337,15.058
CL-Brain,1.440,1096.516,3.971,2024,-0.010
CL-Brain,1.000,1099.574,3.484,1226,1.990
CL-Brain,1.391,1103.113,3.602,1775,0.990
CL-Brain,1.031,1106.262,3.654,1216,9.990
CL-Brain,0.926,1109.243,3.503,1213,11.990
CL-Brain,1.626,1112.388,2.501,1690,nan
CL-Brain,0.923,1114.847,2.602,1220,-0.010
CL-Brain,0.945,1117.948,3.721,1202,4.990
CL-Brain,1.249,1121.081,3.187,1664,13.490
CL-Brain,0.878,1123.273,2.183,1204,14.990
CL-Brain,1.010,1126.558,3.927,1251,20.990
CL-Brain,1.174,1129.780,3.578,1230,17.990
CL-Brain,1.064,1132.597,2.913,1502,4.490
CL-Brain,1.175,1135.458,2.815,1237,-0.010
CL-Brain,1.060,1138.075,2.623,1235,nan
CL-Brain,0.927,1140.563,2.668,1240,10.990
CL-Brain,1.469,1143.941,3.132,1852,8.999
CL-Brain,1.119,1147.179,3.576,1236,-0.010
CL-Brain,1.471,1151.276,4.221,1815,-0.010
CL-Brain,0.946,1154.346,3.637,1226,-0.010
CL-Brain,0.916,1156.767,2.536,1208,-0.010
CL-Brain,1.314,1159.475,2.066,1689,-0.010
CL-Brain,0.880,1162.325,3.373,1246,1.323
CL-Brain,0.891,1164.889,2.812,1258,-0.010
CL-Brain,1.050,1167.353,2.389,1520,-0.010
CL-Brain,0.995,1170.470,3.723,1245,-0.010
CL-Brain,0.857,1172.817,2.481,1236,4.990
CL-Brain,1.233,1176.002,3.356,1637,-0.010
CL-Brain,0.879,1178.950,3.587,1235,nan
CL-Brain,1.023,1181.570,2.670,1235,nan
CL-Brain,0.921,1184.068,2.630,1235,nan
CL-Brain,1.363,1186.884,2.407,1464,14.990
CL-Brain,1.049,1189.859,3.352,1211,-0.010
CL-Brain,1.029,1192.182,2.074,1273,15.438
CL-Brain,1.637,1196.498,4.527,2012,-0.010
CL-Brain,0.878,1199.591,3.794,1202,-0.010
CL-Brain,1.517,1203.069,3.269,1853,2.990
CL-Brain,0.852,1205.937,3.419,1240,6.990
CL-Brain,0.951,1208.637,2.941,1260,1.657
CL-Brain,1.128,1211.140,2.277,1560,nan
CL-Brain,0.876,1214.200,3.804,1236,21.990
CL-Brain,1.006,1216.994,3.077,1235,nan
CL-Brain,0.923,1219.649,2.951,1210,6.990
CL-Brain,0.982,1222.060,2.389,1430,nan
CL-Brain,1.113,1224.970,3.070,1235,nan
CL-Brain,0.902,1228.053,3.801,1235,nan
CL-Brain,1.082,1230.904,3.090,1235,nan
CL-Brain,1.521,1234.203,2.929,1477,18.323
CL-Brain,1.136,1237.318,3.362,1235,nan
CL-Brain,1.257,1240.678,3.474,1234,11.990
CL-Brain,1.215,1243.737,3.147,1229,12.323
CL-Brain,1.580,1247.289,3.171,1890,11.666
CL-Brain,1.557,1251.795,4.973,1985,-0.010
CL-Brain,1.012,1255.365,4.395,1218,10.990
CL-Brain,1.420,1258.558,2.933,1777,4.490
CL-Brain,0.995,1261.674,3.738,1208,-0.010
CL-Brain,0.970,1264.966,3.971,1241,3.657
CL-Brain,1.446,1268.201,2.996,1690,nan
CL-Brain,0.977,1271.229,3.507,1231,15.990
CL-Brain,0.979,1273.626,2.383,1208,-0.010
CL-Brain,1.004,1276.838,3.817,1203,14.990
CL-Brain,1.206,1279.429,2.278,1469,27.990
CL-Brain,0.962,1282.745,4.143,1231,22.990
CL-Brain,0.964,1285.333,2.722,1230,-0.010
CL-Brain,0.937,1288.060,3.003,1253,8.990
CL-Brain,1.143,1290.549,2.222,1511,-0.010
CL-Brain,0.945,1293.095,2.710,1235,nan
CL-Brain,0.970,1295.896,3.127,1235,nan
CL-Brain,1.488,1299.415,3.302,2019,13.999
CL-Brain,1.503,1303.695,4.750,1966,0.323
CL-Brain,0.953,1306.779,3.660,1206,9.990
CL-Brain,0.927,1309.832,3.734,1231,7.990
CL-Brain,1.346,1312.648,2.395,1700,14.990
CL-Brain,0.931,1316.014,4.228,1260,-0.010
CL-Brain,0.942,1318.787,3.150,1235,nan
CL-Brain,1.246,1321.888,3.172,1564,14.323
CL-Brain,1.020,1324.635,2.890,1241,19.990
CL-Brain,0.946,1327.160,2.596,1257,21.990
CL-Brain,1.104,1330.147,3.282,1235,nan
CL-Brain,1.027,1332.950,2.754,1388,3.990
CL-Brain,0.957,1336.041,3.610,1230,11.323
CL-Brain,1.031,1338.724,2.757,1223,-0.010
CL-Brain,0.970,1341.263,2.581,1216,5.990
CL-Brain,1.119,1344.302,3.340,1219,-0.010
CL-Brain,1.053,1347.017,2.766,1309,-0.010
CL-Brain,3.195,1351.733,2.487,1500,15.294
CL-Brain,1.573,1356.306,5.060,2009,-0.010
CL-Brain,1.776,1361.365,5.608,2080,nan
CL-Brain,1.595,1365.823,4.923,2015,-0.010
CL-Brain,0.968,1368.845,3.466,1255,9.990
CL-Brain,1.403,1372.041,2.937,1820,nan
CL-Brain,1.036,1375.164,3.570,1232,2.990
CL-Brain,1.506,1379.247,4.437,1885,nan
CL-Brain,0.947,1382.465,3.935,1235,nan
CL-Brain,1.064,1385.527,3.344,1220,-0.010
CL-Brain,1.224,1388.331,2.665,1666,25.990
CL-Brain,0.929,1391.543,3.965,1260,33.990
CL-Brain,0.934,1394.219,2.958,1203,13.990
CL-Brain,1.123,1397.150,3.005,1478,23.740
CL-Brain,0.927,1399.603,2.591,1235,nan
CL-Brain,0.944,1402.510,3.328,1261,11.323
CL-Brain,1.664,1406.682,4.184,2166,10.470
CL-Brain,1.487,1410.904,4.634,2027,-0.010
CL-Brain,0.940,1414.413,4.463,1211,0.657
CL-Brain,1.364,1417.429,2.713,1796,-0.010
CL-Brain,1.074,1420.720,3.802,1239,-0.010
CL-Brain,1.500,1424.194,3.270,1885,nan
CL-Brain,0.946,1427.254,3.641,1216,14.990
CL-Brain,1.034,1430.223,3.353,1201,24.990
CL-Brain,1.321,1433.122,2.597,1704,4.990
CL-Brain,1.027,1436.406,3.948,1235,nan
CL-Brain,1.016,1439.359,3.264,1263,-0.010
CL-Brain,1.353,1442.548,3.128,1690,nan
CL-Brain,1.149,1446.059,4.087,1265,21.990
CL-Brain,0.912,1448.785,3.080,1235,nan
CL-Brain,1.339,1451.957,3.159,1633,5.990
CL-Brain,0.924,1455.017,3.658,1207,8.990
CL-Brain,1.668,1458.882,3.633,2175,21.562
CL-Brain,1.649,1463.275,4.690,2065,-0.010
CL-Brain,1.549,1467.536,4.605,2056,11.990
CL-Brain,0.929,1470.753,3.903,1224,1.323
CL-Brain,1.397,1473.952,3.065,1809,-0.010
CL-Brain,0.918,1476.927,3.488,1256,-0.010
CL-Brain,1.292,1480.236,3.441,1787,19.990
CL-Brain,0.929,1482.790,2.720,1252,-0.010
CL-Brain,0.915,1485.719,3.452,1219,3.657
CL-Brain,1.200,1488.379,2.417,1625,-0.010
CL-Brain,0.913,1490.869,2.619,1240,2.990
CL-Brain,0.918,1493.701,3.280,1228,-0.010
CL-Brain,1.242,1496.770,3.104,1625,nan
CL-Brain,0.986,1499.390,2.803,1236,16.990
CL-Brain,1.221,1502.670,3.504,1247,-0.010
CL-Brain,0.978,1505.481,2.857,1207,-0.010
CL-Brain,1.593,1508.989,3.164,1884,17.176
CL-Brain,1.588,1513.389,4.748,2042,-0.010
CL-Brain,0.936,1517.246,5.160,1221,1.990
CL-Brain,1.669,1520.780,3.051,1885,nan
CL-Brain,0.962,1524.222,4.283,1261,2.990
CL-Brain,1.360,1527.158,2.645,1784,8.990
CL-Brain,1.058,1530.277,3.537,1235,nan
CL-Brain,1.446,1533.981,3.849,1886,-0.010
CL-Brain,0.956,1536.923,3.387,1235,nan
CL-Brain,0.964,1539.753,3.179,1216,15.990
CL-Brain,1.321,1542.869,3.063,1692,-0.010
CL-Brain,0.956,1545.871,3.494,1236,21.990
CL-Brain,0.937,1548.386,2.662,1222,6.990
CL-Brain,1.137,1551.357,3.088,1218,2.657
CL-Brain,1.071,1554.009,2.639,1422,21.990
